species,fruit_type,color,length.max_mm
Acanthella_pulchra,dry,colored,23
Acanthella_sprucei,dry,colored,15
Aciotis_acuminifolia,dry,colored,3.5
Aciotis_annua,dry,white,4
Aciotis_circaeifolia,dry,white,7.5
Aciotis_indecora,dry,white,4
Aciotis_ornata,dry,colored,2.5
Aciotis_purpurascens,dry,colored,5
Aciotis_rubricaulis,dry,white,6
Acisanthera_alsinaefolia,dry,colored,15
Acisanthera_ayangannae,dry,colored,17
Acisanthera_bivalvis,dry,colored,12
Acisanthera_hedyotidea,dry,colored,4
Acisanthera_uniflora,dry,colored,6
Acisanthera_variabilis,dry,colored,6
Adelobotrys_adscendens,dry,colored,12
Adelobotrys_barbata,dry,colored,17
Adelobotrys_ciliata,dry,colored,15
Adelobotrys_duidae,dry,colored,18
Adelobotrys_fruticosa,dry,colored,2.3
Adelobotrys_jefensis,dry,colored,9
Adelobotrys_monticola,dry,white,9
Adelobotrys_panamensis,dry,colored,13
Adelobotrys_permixta,dry,colored,13
Adelobotrys_saxosa,dry,colored,25
Adelobotrys_scandens,dry,white,12.5
Adelobotrys_spruceana,dry,colored,10
Allomorphia_balansae,dry,colored,5
Allomorphia_baviensis,dry,colored,3
Allomorphia_curtisii,dry,colored,3
Allomorphia_urophylla,dry,colored,3
Amphiblemma_monticola,dry,colored,19
Amphiblemma_mvensis,dry,colored,5
Anaectocalyx_bracteosa,fleshy,colored,14
Andesanthus_inopinatus,dry,colored,13
Andesanthus_lepidotus,dry,colored,30
Andesanthus_wurdackii,dry,colored,18
Anerincleistus_griffithii,dry,colored,3.5
Anerincleistus_pedunculatus,dry,colored,8
Appendicularia_pullei,dry,colored,9
Argyrella_richardsiae,dry,colored,13
Arthrostemma_alatum,dry,colored,4
Arthrostemma_ciliatum,dry,colored,30
Arthrostemma_parvifolium,dry,colored,16
Arthrostemma_primaevum,dry,colored,16
Astronia_rolfei,dry,colored,4
Axinaea_affinis,dry,colored,180
Axinaea_alata,dry,colored,20
Axinaea_campii,dry,colored,20
Axinaea_colombiana,dry,colored,14
Axinaea_confusa,dry,colored,12
Axinaea_costaricensis,dry,colored,15
Axinaea_crassinoda,dry,colored,12
Axinaea_dentata,dry,colored,10
Axinaea_dependens,dry,colored,10
Axinaea_disrupta,dry,colored,18
Axinaea_fallax,dry,colored,14
Axinaea_flava,dry,colored,20
Axinaea_floribunda,dry,colored,8
Axinaea_glandulosa,dry,colored,17
Axinaea_glauca,dry,colored,18
Axinaea_grandifolia,dry,colored,12
Axinaea_lanceolata,dry,colored,15
Axinaea_lehmannii,dry,colored,14
Axinaea_macrophylla,dry,colored,9
Axinaea_mertensioides,dry,colored,14
Axinaea_minutiflora,dry,colored,11
Axinaea_nitida,dry,colored,12
Axinaea_oblongifolia,dry,colored,15
Axinaea_pauciflora,dry,colored,14
Axinaea_pendula,dry,colored,11
Axinaea_pennellii,dry,colored,15
Axinaea_quitensis,dry,colored,8
Axinaea_reginae,dry,colored,12
Axinaea_ruizteranii,dry,colored,15
